epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.104,2.01587,3.7901,1.86481,0.00921,0.35455,0.04447,0.01785,1.45575,3.9755,1.72535,7.777e-05,7.777e-05,7.777e-05
2,187.824,1.67823,3.41073,1.63441,0.01477,0.54982,0.06908,0.03315,1.19099,3.80321,1.42169,0.000161151,0.000161151,0.000161151
3,281.723,1.61072,2.79417,1.49388,0.01363,0.68296,0.13858,0.07508,1.22813,3.66411,1.37188,0.000238665,0.000238665,0.000238665
4,373.898,1.58646,2.45148,1.46866,0.01903,0.59837,0.28563,0.16013,1.23086,3.54809,1.41408,0.000310313,0.000310313,0.000310313
5,469.285,1.55421,2.05886,1.43981,0.0155,0.6565,0.28986,0.18084,1.29209,3.32725,1.43895,0.000376096,0.000376096,0.000376096
6,552.656,1.57097,1.88452,1.43516,0.51468,0.1916,0.25371,0.16023,1.29483,3.27903,1.44676,0.000436012,0.000436012,0.000436012
7,631.134,1.51531,1.75276,1.41405,0.6969,0.15342,0.28666,0.15357,1.37759,3.24686,1.54171,0.000490062,0.000490062,0.000490062
8,711.203,1.43347,1.74897,1.3885,0.56957,0.20177,0.44082,0.21867,1.36993,2.90298,1.58593,0.000538246,0.000538246,0.000538246
9,792.587,1.37728,1.5792,1.33196,0.54555,0.29377,0.46442,0.25284,1.39136,2.74029,1.60624,0.000580564,0.000580564,0.000580564
10,871.636,1.34003,1.50796,1.3133,0.52534,0.33415,0.50026,0.28006,1.37715,2.57164,1.60005,0.000617016,0.000617016,0.000617016
11,953.397,1.37424,1.44058,1.30727,0.51452,0.47393,0.50941,0.29298,1.38637,2.56337,1.59702,0.000647602,0.000647602,0.000647602
12,1035.8,1.36869,1.42783,1.3393,0.40235,0.4573,0.48121,0.26936,1.44228,2.58848,1.63976,0.000672322,0.000672322,0.000672322
13,1121.77,1.3493,1.48006,1.33593,0.49743,0.40391,0.50779,0.29057,1.44899,2.46283,1.60992,0.000671044,0.000671044,0.000671044
14,1212.49,1.32276,1.40921,1.31304,0.36282,0.45398,0.4944,0.27764,1.56485,2.33074,1.65845,0.000634381,0.000634381,0.000634381
15,1304.01,1.34816,1.40332,1.33472,0.38268,0.52015,0.5405,0.30609,1.41412,2.26847,1.59071,0.000597718,0.000597718,0.000597718
16,1416.89,1.30073,1.32227,1.31044,0.41486,0.47362,0.51053,0.29036,1.40431,2.27561,1.60995,0.000561055,0.000561055,0.000561055
17,1514.26,1.2831,1.29843,1.28247,0.47784,0.49202,0.57111,0.33199,1.35161,2.16876,1.5415,0.000524392,0.000524392,0.000524392
18,1609.23,1.26894,1.27429,1.29488,0.49586,0.58235,0.59465,0.34186,1.38577,2.0937,1.57295,0.000487729,0.000487729,0.000487729
19,1707.5,1.27183,1.2357,1.24579,0.54714,0.56804,0.61741,0.34756,1.35977,2.11746,1.5475,0.000451066,0.000451066,0.000451066
20,1814.87,1.22597,1.18933,1.24792,0.60952,0.59852,0.62124,0.35687,1.39742,2.06908,1.57735,0.000414403,0.000414403,0.000414403
21,1916.1,1.2308,1.35512,1.24515,0.55388,0.54035,0.57751,0.31978,1.5231,2.31011,1.70528,0.00037774,0.00037774,0.00037774
22,2021.11,1.22441,1.33344,1.27191,0.54749,0.55899,0.61907,0.32851,1.51025,2.37404,1.66941,0.000341077,0.000341077,0.000341077
23,2115.79,1.1691,1.29709,1.23198,0.58303,0.5846,0.62982,0.37122,1.35242,2.16732,1.52346,0.000304414,0.000304414,0.000304414
24,2210.45,1.13122,1.19752,1.21851,0.54047,0.64256,0.6542,0.38988,1.31496,2.01303,1.49718,0.000267751,0.000267751,0.000267751
25,2308.37,1.14647,1.19472,1.21539,0.56002,0.63586,0.66236,0.38436,1.34585,1.98048,1.51505,0.000231088,0.000231088,0.000231088
26,2407.08,1.12792,1.14704,1.19616,0.60283,0.5986,0.63979,0.38245,1.3564,1.9874,1.53738,0.000194425,0.000194425,0.000194425
27,2507.14,1.13346,1.18971,1.23838,0.55699,0.60752,0.63137,0.38029,1.33463,1.98456,1.51565,0.000157762,0.000157762,0.000157762
28,2637.3,1.12035,1.13179,1.20482,0.61054,0.60015,0.63927,0.38741,1.32097,1.95421,1.51453,0.000121099,0.000121099,0.000121099
29,2764.07,1.081,1.15458,1.18292,0.62947,0.58856,0.65343,0.39331,1.3045,1.92596,1.49632,8.4436e-05,8.4436e-05,8.4436e-05
30,2856.32,1.07551,1.1188,1.18931,0.63775,0.60351,0.65177,0.39015,1.29679,1.90141,1.48928,4.7773e-05,4.7773e-05,4.7773e-05
